title,authors,year,publicationDate,link,abstract,river,keywords,source,scraped_at
"Isotopic Evidence from the Po River Under Prolonged Drought Conditions (Northern Italy, 2022–2023)","G. Bianchini, V. Brombin, C. Marchina, C. Natali",2025,2025-11-16,https://www.semanticscholar.org/paper/bc1b92bd1a6a72cf3112fd32c1a396b4521df720,"The Po River, the largest watercourse in northern Italy, represents a fundamental resource for the socio-economic system of the Padanian Plain. Between February 2022 and February 2023, the basin was affected by exceptional climatic anomalies, with unprecedented high temperatures, marked precipitation deficits, and the most severe hydrological drought documented in the instrumental record. Po river waters sampled during this period showed variable increases (Na+, K+, Mg2+, HCO3−, Cl−, SO42−) or decreases (Ca2+, NO3−) in the geochemical composition of major ions compared to data from previous decades collected under various climatic and hydrological conditions In contrast, the water stable isotope composition (δ2H and δ18O) of the period 2022–2023 displayed distinct and peculiar signatures, ranging from −64.1 to −53.5‰ for δ2H and from −9.4 to −5.7‰ for δ18O, compared to historical averages for 1998–2014 (−71.3 to −58.0‰ and −10.0 to −8.7‰, respectively). These values indicate a strong enrichment in heavy isotopes, reflecting warmer and drier climatic conditions, comparable only to those observed during the severe drought of 2015. Two groups of data were identified: Group 1, showing affinities with Eastern Mediterranean precipitation, and Group 2, characterized by pronounced evaporative isotopic enrichment due to prolonged drought, as evidenced by strongly negative d-excess and LC-excess values, consistent with those from arid and semi-arid regions worldwide. This study demonstrates how climate change and increasing hydrological stress are altering the isotopic composition of one of Europe’s most important river systems. Stable isotopes provide a sensitive tool for tracing moisture sources, quantifying evaporative processes, and assessing drought impacts, confirming their role as Essential Climate Variables (ECVs) in climate and water-resource studies.",Po,"largest watercourse, watercourse in northern",Semantic Scholar,2025-12-10T22:37:39.781918
Network dynamics reveal drought synchronization hubs in the Po River Basin,"Antonio Zinilli, Edmondo Di Giuseppe, Arianna Di Paola, S. Quaresima, Massimiliano Pasqui",2025,2025-08-08,https://www.semanticscholar.org/paper/36187212b9913d2894916c5e9923350b93781f3f,"The intensifying climate crisis has exacerbated the frequency and severity of prolonged droughts, particularly in environmentally and socio-economically vulnerable climate change hot-spot regions. Despite advancements in monitoring, the spatiotemporal propagation and interdependencies of drought events remain poorly understood. This study analyzes drought synchronization within the Po River Basin, a critical hydrological system contributing approximately 40% of Italy’s GDP. Using the 12-month Standardized Precipitation Index (SPI-12) and complex network methods, we reveal the spatiotemporal dynamics of drought propagation, identifying key hubs and hot-spot regions. Our analysis identifies spatial hubs where droughts originate and terminal zones where impacts converge. This process follows a diffusive propagation mechanism, whereby local events spread through preferential pathways until they are interrupted by seasonal climatic conditions that restore precipitation regime. These findings enhance understanding of drought dynamics in interconnected systems, advancing the application of complex network theory to hydro-climatology. They also provide a foundation for research on societal resilience to climate change and the development of adaptive strategies for sustainable hydrological systems.",Po,,Semantic Scholar,2025-12-10T22:37:39.781947
More intense heatwaves under drier conditions: a compound event analysis in the Adige River basin (Eastern Italian Alps),"Marc Lemus-Canovas, Alice Crespi, Elena Maines, Stefano Terzi, Massimiliano Pittore",2025,2025-11-28,https://www.semanticscholar.org/paper/9c71bae8d01666e8b9a8a08e1cacf9615001d759,"Abstract. The Adige River basin has been affected several times in recent years by concurrent very hot and dry conditions. In summers 2015, 2017, and more recently in 2021–2022, severe hydrological droughts compounded and cascaded with wildfire and heatwave events. The chained effect of snow deficit in winter, higher-than-normal temperatures in early spring and heatwaves during summer caused multiple drought impacts. Despite the severe consequences, the role of observed climate change in exacerbating the intensity of the drivers leading to specific hot and dry events and their potential impacts in this region remains poorly understood. A ranking of compound drought and heatwave events (CDHW) occurring in the Adige River basin between 1950 and 2023 was built using E-OBS precipitation and temperature observations. The ranking was based on a composite index considering both event intensity and the spatial extent of the affected area, derived from the Standardised Precipitation Index at a 6 month scale (SPI-6) and a heatwave definition based on daily maximum temperature (TX). The major 2022 CDHW event, which caused severe environmental and societal impacts in the Adige River catchment, stood out. Occurring in late spring (10–28 May 2022), it ranked fifth out of 119 events detected since 1950 and was the most intense CDHW event in the past 15 years. As one of the most recent and severe CDHW events, the 2022 event was selected for an in-depth characterisation and a climate change attribution analysis of both its meteorological drivers and hydrological impacts. The changing characteristics of CDHW events similar to that of May 2022 were investigated through a flow-analogue attribution approach based on the reconstruction of its atmospheric conditions using ERA5 geopotential height at 500 hPa. By comparing May 2022 CDHW flow analogues from 1951–1980 (low anthropogenic forcing) and 1992–2021 (moderate-high anthropogenic forcing), we found that heatwaves comparable to the one in May 2022 are now significantly hotter – by 1–4 °C – than historical analogues and occur in a much drier context, characterised by pronounced precipitation deficits. These conditions, along with earlier snowmelt and persistent precipitation deficits, might have exacerbated river flow reductions and water stress in recent years. Also, shifts in the timing of a CDHW event were found to significantly influence the severity of its potential consequences. However, extracting a reliable signal of future changes in the characteristics of CDHW events from climate projections remains challenging. Based on flow-conditioned analogues of the May 2022 event from 25 EURO-CORDEX simulations, more than half of the models failed to reproduce the observed sign of change in temperature and drought conditions. Unconditioned reconstructions showed closer agreement with observations, particularly for temperature patterns, but critical aspects such as the magnitude of the changes remained underestimated.",Adige,"Adige River basin, Adige River",Semantic Scholar,2025-12-10T22:46:03.772779
Climate Crises and Agricultural Drought: Evolutions in Water Scarcity Context at the Farm Level,"Silvia Chiappini, O. Cimino, C. Cardillo",2025,2025-06-09,https://www.semanticscholar.org/paper/9c7ff2f30ab43c46827340baffbe4a33ec9dc00e,"The ongoing climate crisis and growing water scarcity are exerting increasing pressure on agriculture in Southern and Western Europe, leading to reduced crop yields, greater risk of land abandonment, and deterioration of soil quality. Despite the extensive literature on irrigation and water use in agriculture, the specific relationship between irrigation availability and changes in the type of farming (ToF) remains insufficiently investigated. This study aims to address this gap by analyzing data from the 2010 and 2020 Italian General Agricultural Censuses conducted by ISTAT, in combination with microdata from the Italian Farm Accountancy Data Network (FADN), focusing on irrigated farms in Southern Italy. Descriptive analysis reveals that over 60% of irrigated farms specialize in permanent crops and predominantly adopt efficient irrigation systems such as drip irrigation. Between 2010 and 2020, approximately 23.8% of farms changed their ToF; however, these transitions were not generally associated with improvements in productivity or profitability. Results from logistic regression models suggest that structural variables—including Utilized Agricultural Area (UAA), economic size, and demographic characteristics such as the farmer’s gender—play a more significant role in determining changes in the ToF than the presence of irrigation itself. Moreover, the adoption of organic practices and larger farm sizes are positively associated with ToF changes. These findings suggest that while there has been some shift toward less water-demanding and potentially more sustainable crops, the impact of irrigation on such transitions remains limited. The results underscore the need for more targeted agricultural policies and improved data collection to support effective climate adaptation strategies in the sector.",,growing water scarcity,Semantic Scholar,2025-12-10T22:51:19.620072
Thirst for Change in Water Governance: Overcoming Challenges for Drought Resilience in Southern Europe,Elenora Santos,2025,2025-07-22,https://www.semanticscholar.org/paper/78cb9137b0930bb7c2964547cefd6746fa3a70bd,"This article investigates the institutional and informational foundations of water governance in Southern Europe amid escalating climate stress. Focusing on Portugal, Spain, Italy, and Greece, it develops a multi-level analytical framework to explore how information asymmetries and governance fragmentation undermine coordinated responses to water scarcity. Integrating theories of information economics, polycentric governance, and critical institutionalism, this study applies a stylized economic model and comparative institutional analysis to assess how agents—such as farmers, utilities, regulators, and civil society—respond to varying incentives, data access, and coordination structures. Using secondary data, normalized indicators, and scenario-based simulations, the model identifies three key structural parameters—institutional friction (θi), information cost (βi), and incentive strength (αi)—as levers for governance reform. The simulations are stylized and not empirically calibrated, serving as heuristic tools rather than predictive forecasts. The results show that isolated interventions yield limited improvements, while combined reforms significantly enhance both equity and effectiveness. Climate stress simulations further reveal stark differences in institutional resilience, with Greece and Italy showing systemic fragility and Portugal emerging as comparatively robust. This study contributes a flexible, policy-relevant tool for diagnosing governance capacity and informing reform strategies while also underscoring the need for integrated, equity-oriented approaches to adaptive water governance.",,,Semantic Scholar,2025-12-10T22:51:19.620102
Climate-Adaptive Irrigation Management in Venetian Reclamation Consortia (Italy),"Francesco Salmaso, A. Cogato, Lucia Bortolini",2025,2025-11-16,https://www.semanticscholar.org/paper/ad87467805282570e9c78f14f7665816966298db,"Climate change poses increasing challenges to Reclamation Consortia, which must ensure equitable and sustainable water distribution under conditions of growing scarcity. This study evaluates supplemental irrigation management strategies adopted by three Reclamation Consortia in the Venetian Plain (Northeast Italy): Piave, Veneto Orientale and Acque Risorgive. The Consortia were selected based on their territorial and structural characteristics, as well as their different approach to managing water resources. This study fills a critical gap by integrating FAO AquaCrop-based estimates of irrigation needs for the 2022 and 2023 irrigation seasons in maize, grapevine and radicchio with an institutional analysis of Reclamation Consortia, offering an innovative framework that links technical and governance aspects of sustainable water management. Results reveal considerable variability among Consortia in terms of organizational structure, technological adoption, and resilience to drought. The 2022 season, characterized by extreme drought, required substantially higher irrigation volumes across all crops and soil types with significant differences compared to 2023 (p < 0.001), particularly for maize and grapevine (73% more irrigation water in maize). Well-drained soils and sprinkler irrigated crops showed the highest water demand (+45 mm compared to drip irrigation, p = 0.058), while loamy soils and drip systems proved more efficient. The Piave Consortium demonstrated the most advanced management system, supported by digital tools and structured rotation schedules. Nevertheless, structural factors, such as geographic location and infrastructure capacity, play a critical role in shaping resilience, leading to higher vulnerability in Consortia like Veneto Orientale and robustness in Acque Risorgive during drought conditions (i.e., 2022). Overall, the findings highlight the need to strengthen the main pillars of adaptation in irrigated agriculture, i.e., technology (decision support systems), governance (inter-Consortium coordination), and infrastructure (storage facilities), to promote flexible irrigation planning, enhance adaptive capacity, and ensure long-term sustainability under changing climatic conditions. These strategies also contribute directly to the achievement of Sustainable Development Goals 2, 6, and 13 (Zero Hunger, Clean Water and Sanitation, and Climate Action) by improving water use efficiency, securing crop production, and enhancing resilience to climate change.",,"sustainable water distribution, growing scarcity",Semantic Scholar,2025-12-10T22:51:19.620116
"Water management for agrculture in a Mediterranean area: The case of processing
tomatoes in Italy","Cristina Vaquero‐Piñeiro, Emanuela Burgio, Roberto Henke",2025,2025-06-10,https://www.semanticscholar.org/paper/473f0e06385f46a81bc98ec21840ad06a2b017a0,"Unpredictable climate variations, including severe droughts and heat waves, pose significant challenges to agricultural water management and threaten the economic sustainability of farmers. This study examines the effects of different irrigation methods and water supply services on the economic performance of farmers in the processing tomato sector, using micro-level data from the Italian Farm Accountancy Data Network (FADN) from 2008 to 2021. The analysis reveals economic benefits generated by adopting a self-supply water management strategy and more sustainable irrigation techniques (micro-irrigation), especially in regions experiencing acute droughts and higher temperatures. Findings emphasize the importance of considering the regionspecific context when implementing policy interventions, technological innovations, and governance structures, particularly in Mediterranean countries where water scarcity increasingly restricts agricultural output",,including severe droughts,Semantic Scholar,2025-12-10T22:51:19.620123
Contrasting needle physiological strategies to soil nutrient scarcity in radiata pine plantations,"Lorena Ruiz de Larrinaga, Francisco San Miguel-Oti, Ander Monasterio, U. Artetxe, Sergi Munné‐Bosch, Tania Mesa, Céline Moreaux, Unai Ortega-Barrueta, Unai Sertutxa, L. Peña, Ibone Ametzaga-Arregi, J. Yuste, Raquel Esteban",2025,2025-07-19,https://www.semanticscholar.org/paper/5818fa6405864f61ce65cadc8c38cff6ec5e9e17,,,,Semantic Scholar,2025-12-10T22:51:19.620133
Biometric and molecular responses to water deficit in two contrasting Italian durum wheat cultivars,"Martino Schillaci, Mauro Centritto, E. Zampieri",2025,2025-10-08,https://www.semanticscholar.org/paper/0bfb1db762c514714f0643111b81f701e0e372e4,"The impact of global warming on agriculture is widely recognized, and events of water scarcity are predicted to increase in the upcoming years. In our study, we examined the response of two Triticum turgidum spp. durum cultivars, Marco Aurelio (MA) and Antalis (AN), to water deficit stress, focusing on biometric traits and the expression of selected genes in their shoots and roots. During the first part of the water stress cycle that lasted 25 days, MA and AN reached soil water content (SWC) of 14 and 25%, respectively. The applied water stress had a significant impact on plant growth, adversely affecting several biometric traits. Notably, the two cultivars showed distinct responses to drought: AN maintained root biomass, whereas MA sustained similar shoot biomass through spike production. Despite these differences, total plant biomass of the two genotypes did not differ under water stress conditions, suggesting an improved water use efficiency in AN. Gene expression analyses indicated a broadly similar stress response in both cultivars, marked by the activation of genes involved in stress response, hormone metabolism and detoxification pathways. However, two genes associated with flowering regulation, IAA15 and NTL3A, were specifically up-regulated in the shoots of MA plants under stress, enabling these plants to flower under stress conditions. The study examined how two durum wheat cultivars respond to water deficit at both the phenotypic and gene expression levels. While both cultivars showed similar reductions in biomass, they differed in water use and flowering time under stress, traits that could be useful for improving yield in dry climates. Early flowering response, particularly in the Antalis cultivar, led to improved water use efficiency (WUE) and may help avoid stress during the reproductive stage, potentially boosting yields.",,water,Semantic Scholar,2025-12-10T22:51:19.620139
Sediment Assessment Using Coupled RUSLE-SDR Models of Future Mellegue2 Dam in Tunisia,"Sahar Abidi, Hammadi Achour, Fida Mouelhi, Omrana Aıdara, Mahnaz Gümrükçüoğlu Yiğit, Lamia Lajili Ghezal",2025,2025-12-06,https://www.semanticscholar.org/paper/d9acd8a32691c28c4a3b186aac695d6d14f198da,"Over the last 60 years, Mellegue1 Dam has lost approximately 80% of its original 268 million cubic meter capacity to siltation, reflecting broader Mediterranean basin patterns in which climate-driven erosion has exacerbated dam sedimentation rates. In response, the strategic building of the upstream Mellegue2 Dam is intended to address water scarcity, improve flood management, and ensure a continuous supply of water for agricultural and domestic purposes. This study fills critical knowledge gaps by integrating climate change projections with sediment modeling in Mediterranean semi-arid environments, developing spatially explicit conservation strategies using combined RUSLE-SDR and SWAT modeling, and evaluating management interventions under future scenarios using drought-flush erosion mechanisms documented across the Mediterranean basin. This study evaluates sediment dynamics in the Mellegue2 Dam watershed from 1993 to 2019 using an integrated RUSLE-IC-SDR modelling approach, with model validation performed using a three-tiered framework that included SWAT comparison, historical sedimentation records, and regional correlation analysis. The model performed well (NSE=0.78, R²=0.82), with an average annual prediction error of 12.3%, similar to verified Mediterranean erosion models. Monte Carlo simulation with 1000 iterations, accounting for parameter variability in R-factor (±15%), K-factor (±20%), and C-factor (±25%), yielded confidence intervals of -18% to +22% for annual forecasts. The temporal study demonstrates drought-flush erosion mechanisms common to Mediterranean climates, with post-drought sediment outputs increasing by 40-60% above normal years, consistent with regional research from Spain, Italy, and Greece. According to the management scenario study, Mellegue2 Dam will lose 50% of its capacity within 24 years if no intervention is implemented. However, comprehensive watershed management based on proven Mediterranean basin conservation practices has the potential to increase operational lifespan to 75 years while also delivering broader environmental benefits. The study finds three priority management zones that require distinct conservation approaches, with the largest return on investment found on northwestern slopes with erosion rates of more than 12 t/ha/year. These findings contribute to better knowledge of climate-driven erosion processes across the Mediterranean and offer management solutions that can be applied to similar semi-arid watersheds.",,"Mediterranean basin patterns, Mediterranean basin",Semantic Scholar,2025-12-10T22:51:19.620149
