title,authors,year,publicationDate,link,abstract,river,keywords,source,scraped_at
Drought and irrigation requirements: Adaptation strategies and economic impacts on Italian arable farms under different first-pillar CAP scenarios,"Rebecca Buttinelli, Edmondo Di Giuseppe, S. Quaresima, Arianna Di Paola, R. Cortignani",2026,2026-02-01,https://www.semanticscholar.org/paper/401056fac36d3e52d6d8a7dadaf343f5fec46878,,,,Semantic Scholar,2025-12-16T18:45:37.810919
"The anatomy of drought in Italy: statistical signatures, spatiotemporal persistence, and forecasting potential","F. Granata, F. Di Nunno",2026,2026-01-01,https://www.semanticscholar.org/paper/88e61d9b34aac441e9cfd43972f06559e3b6f2bb,,,,Semantic Scholar,2025-12-16T18:45:03.640996
2b-RAD sequencing of Malus florentina populations reveals strong population structure and signals of balancing selection at disease resistance loci.,"David Papp, V. Papp, Csaba Kozma, Sadia Tabassum Tanni, Fabio Conti, Tamás Deák, Zoltán Barina",2025,2025-12-15,https://www.semanticscholar.org/paper/5d7708565a66882488466c960f93e7ae5d80c779,,,,Semantic Scholar,2025-12-16T18:45:04.862208
Quantitative Metabarcoding Reveals the Effects of Ecological Factors and Invasive Species on Functional Diversity of Freshwater Insects.,"Elia Lo Parrino, Isabel Cantera, Alessia Guerrieri, B. Barzaghi, M. Falaschi, Martina Muraro, Serena Pozzi, R. Manenti, G. F. Ficetola",2025,2025-12-14,https://www.semanticscholar.org/paper/036dd1d4b531d87dffbd7ec0025f10bb969b7168,,,,Semantic Scholar,2025-12-16T18:45:37.810845
"Xerophytic plants for sustainable urban green areas in the Mediterranean (Sicily, Italy)","Simona Aprile, Maria Carola Fiore, Antonello Maurizio Tucci, Adele Salamone",2025,2025-12-12,https://www.semanticscholar.org/paper/4bea9a52eaf177b6a49328eb61241458fa83920e,,,,Semantic Scholar,2025-12-16T18:45:04.862191
Sediment Assessment Using Coupled RUSLE-SDR Models of Future Mellegue2 Dam in Tunisia,"Sahar Abidi, Hammadi Achour, Fida Mouelhi, Omrana Aıdara, Mahnaz Gümrükçüoğlu Yiğit, Lamia Lajili Ghezal",2025,2025-12-06,https://www.semanticscholar.org/paper/d9acd8a32691c28c4a3b186aac695d6d14f198da,"Over the last 60 years, Mellegue1 Dam has lost approximately 80% of its original 268 million cubic meter capacity to siltation, reflecting broader Mediterranean basin patterns in which climate-driven erosion has exacerbated dam sedimentation rates. In response, the strategic building of the upstream Mellegue2 Dam is intended to address water scarcity, improve flood management, and ensure a continuous supply of water for agricultural and domestic purposes. This study fills critical knowledge gaps by integrating climate change projections with sediment modeling in Mediterranean semi-arid environments, developing spatially explicit conservation strategies using combined RUSLE-SDR and SWAT modeling, and evaluating management interventions under future scenarios using drought-flush erosion mechanisms documented across the Mediterranean basin. This study evaluates sediment dynamics in the Mellegue2 Dam watershed from 1993 to 2019 using an integrated RUSLE-IC-SDR modelling approach, with model validation performed using a three-tiered framework that included SWAT comparison, historical sedimentation records, and regional correlation analysis. The model performed well (NSE=0.78, R²=0.82), with an average annual prediction error of 12.3%, similar to verified Mediterranean erosion models. Monte Carlo simulation with 1000 iterations, accounting for parameter variability in R-factor (±15%), K-factor (±20%), and C-factor (±25%), yielded confidence intervals of -18% to +22% for annual forecasts. The temporal study demonstrates drought-flush erosion mechanisms common to Mediterranean climates, with post-drought sediment outputs increasing by 40-60% above normal years, consistent with regional research from Spain, Italy, and Greece. According to the management scenario study, Mellegue2 Dam will lose 50% of its capacity within 24 years if no intervention is implemented. However, comprehensive watershed management based on proven Mediterranean basin conservation practices has the potential to increase operational lifespan to 75 years while also delivering broader environmental benefits. The study finds three priority management zones that require distinct conservation approaches, with the largest return on investment found on northwestern slopes with erosion rates of more than 12 t/ha/year. These findings contribute to better knowledge of climate-driven erosion processes across the Mediterranean and offer management solutions that can be applied to similar semi-arid watersheds.",,"Mediterranean basin patterns, Mediterranean basin",Semantic Scholar,2025-12-16T18:52:54.423577
Synchronizing Germination Rates Across Plant Species for Fabricated Ecosystems EcoFAB 2.0,"Romane Charbeaux, Vicky Waymouth, Jacob Calabria, Troy Miller, Peter Andeer, M. Watt",2025,2025-12-05,https://www.semanticscholar.org/paper/7f7ec4e0b733da434731a9d12c233ebc48a0d030,"Roots are essential organs for plants, facilitating water and nutrient uptake from the soil to support growth. Traditional methods for studying root systems, such as rhizoboxes and rhizotrons, have provided valuable insights. However, advanced methods such as fabricated ecosystems (EcoFAB) combined with new generation microscopes now enable a more detailed investigation of the rhizosphere, the microenvironment surrounding roots, allowing a deeper understanding of root tissue, exudates, and plant–soil interactions. This microenvironment can be used to investigate the adaptation of plants to environmental stress (salinity, drought, higher temperatures). Our procedure focuses on establishing standardized protocols for plant growth tailored to the EcoFAB system, which offers a controlled environment to study root dynamics. This work also contributes new insights into the early stages of plant germination, an area currently underexplored in the literature. While numerous studies focus on plant growth or genetic aspects, such as gene induction, the germination phase remains underexplored. We have developed optimized germination protocols for multiple plant species, ensuring uniform seedling size and sufficient development for seamless integration into the EcoFAB system. Key features • Optimized the germination protocol for plant rhizosphere studies using the EcoFAB 2.0 system. • Adapted the well-established protocol for Brachypodium distachyon to other species, including Arabidopsis thaliana, Fragaria vesca, and Lactuca sativa. • Preliminary measurements of root and leaf traits were taken to determine the best method.",,"facilitating water, water and nutrient",Semantic Scholar,2025-12-16T18:52:53.197384
From HOMED to FORSAID: Sustaining Forest Health Research Across Horizon Projects,"Peter Bozakov, A. Battisti, Andree Cappellari, Davide Nardi, H. Jactel",2025,2025-12-05,https://www.semanticscholar.org/paper/d44e3dfd31ab4b3946223eab34a006ed2fc4279b,"Forests play a key role in achieving the objectives of the European Green Deal due to their multifunctional role. They provide multiple ecosystem services, such as soil formation, nutrient cycling, provisioning of timber, food, and water, climate regulation, and flood control, while also being of central importance for biodiversity conservation (Brockerhoff et al. 2017). However, insect and pathogen pests increasingly threaten forests, alone or after abiotic disturbances such as drought, fire, and storms (Romagnoli et al. 2023). Among pests, invasive alien species are of great concern because they can have a strong impact on forest biodiversity and economy, and many efforts are being made to regulate them in the EU (Ghelardini et al. 2017). In addition, several native pests are expanding their range because of climate change and are called emerging pest species (Jactel et al. 2019; Simler-Williamson et al. 2019). Research is therefore essential to support early detection of emerging and invasive pests, monitor their spread, and inform phytosanitary measures that can prevent or mitigate their impacts.    In this context, the Horizon 2020 project  HOMED  (HOlistic Management of Emerging forest pests and Diseases), coordinated by Hervé Jactel from the National Research Institute for Agriculture, Food and the Environment (France), developed a holistic and multi-actor approach to develop tools and methods for the management of emerging native and non-native pests threatening European forests, focusing on all phases of invasion, from prevention to surveillance to eradication and control. The project also broadened the definition of “forest health”, including trees not only in forests, but also in nurseries, urban and rural areas, owing to the key epidemiological role of these components. The major outputs of the project are synthesised in a special issue of the journal NeoBiota, and include a participatory tool for reporting forest damage data (  Silvalert  ), improved multi-funnel traps with generic pheromone attractants (Santoiemma et al. 2024), pioneering studies on pest detection using remote sensing (Nardi et al. 2023), and sustained stakeholder engagement through six targeted policy briefs. Importantly, HOMED underscored the need for interdisciplinary collaboration across forest entomology and pathology, economics, and social sciences, and highlighted the priority of developing innovative tools for the early detection and eradication of pests.      Building on this foundation, the Horizon Europe project FORSAID (FORest Surveillance with Artificial Intelligence and Digital technologies), coordinated by Andrea Battisti from the University of Padova (Italy), continues and expands HOMED's legacy. FORSAID focuses on designing a comprehensive and technologically advanced framework for the early detection and surveillance of EU-regulated forest pests, integrating a wide range of innovative tools, including satellite- and drone-based remote sensing, smart traps with automatic monitoring capacity, robotic devices for rapid insect identification, environmental DNA methods for early pest detection, and citizen science approaches supported by mobile applications. Stakeholder engagement is central to this process, ensuring that research outputs are aligned with end-user needs and can be effectively implemented in practice. The project aims to integrate these methods into a coherent and operational monitoring and assessment system for regulated pests, thereby supporting the development of a novel pan-European strategy for forest pest management. FORSAID also ensures continuity and knowledge transfer from HOMED. For example, data on pest distribution collected in HOMED through  Silvalert  now serves as a baseline for FORSAID remote sensing activities. Generic attractants validated globally in HOMED are being incorporated into next-generation smart traps. Lastly, stakeholder surveys from HOMED provide direct input into FORSAID's research agenda. By maintaining and extending these outputs, FORSAID exemplifies how scientific legacies can be consolidated and advanced across projects.    Together, HOMED and FORSAID demonstrate the value of sustained research, innovation, and cross-disciplinary collaboration in forest health management, and their combined contributions highlight the importance of open data, participatory science, and stakeholder-driven approaches in building robust strategies against emerging forest pests.",,,Semantic Scholar,2025-12-16T18:52:53.197391
Meteorological Analysis of Extreme Fires in Albania during the Period 2019–2025,"Gazmir Çela, Anira Gjoni, Alban Doko, Florinda Kadria, Indrit Rexhepi, O. Jaupaj",2025,2025-12-03,https://www.semanticscholar.org/paper/0356f9703a2ee8e2806b9f9886bd2f4e7a118a3a,"This study investigates the relationship between weather conditions and extreme fires in Albania during 2019–2025, aiming to assess the impact of atmospheric conditions on the occurrence, intensity, and spatial distribution of forest fires. The period was selected due to the increased occurrence of fire events and the availability of consistent meteorological and satellite datasets. The analysis was carried out by integrating satellite data from Copernicus (Sentinel-2B), the EFFIS (European Forest Fire Information System) burned-area database, and meteorological observations from the National Meteorological Monitoring System of Albania. The methodology includes the processing of satellite images to identify burned areas, the statistical analysis of key meteorological indicators, and the application of the Fire Weather Index (FWI) to assess national-scale fire risk. For each of the six years, only the warm season (April–September) was analyzed, as this period favors the spread of fires. Spatial and temporal analysis identified the most affected areas, the peak fire periods, and the relationships between meteorological parameters and fire outbreaks.  The results are based on burned-area data obtained from EFFIS. The official shapefiles were processed and aggregated in Excel to calculate annual, monthly, and regional fire statistics. The highest values were recorded during 2024–2025, when burned areas exceeded 47,000–59,000 ha, while the Vlora region accounted for more than 40–47% of the national total. Fire activity consistently peaks in August (52%) and July (35%), coinciding with climatic drought, heat waves, and extreme temperatures. During these months, daily mean temperatures often exceed 35–38 °C, heatwaves last 5–10 days, and rainfall is minimal, creating highly favorable conditions for fire ignition. The interannual comparison confirms that fire dynamics are strongly influenced by thermal anomalies, lack of summer rainfall, and prolonged drought.  The study highlights the essential role of meteorological conditions and climate trends in the development and expansion of forest fires in Albania, along with the importance of early warning systems such as the EFFIS Fire Danger Forecast and national meteorological alerts. The findings support national strategies for fire risk management, territorial planning, and the protection of ecosystems and local communities under ongoing climate change impacts.",,,Semantic Scholar,2025-12-16T19:15:28.103885
An impact-oriented framework for a deep learning–based composite drought index considering potential economic losses.,"Mostafa Khosh Chehreh, C. De michele",2025,2025-12-02,https://www.semanticscholar.org/paper/de306b84510c69893d8e08a1462aaa977da8b329,"Droughts significantly impact socioeconomic systems globally. As a complex and multifaceted phenomenon, drought is characterized through various indices - meteorological, agricultural, and hydrological- each capturing different aspects of the phenomenon. This diversity has led to growing demand for integrated drought monitoring tools that offer a more holistic understanding of drought conditions. Traditionally, newly developed composite drought indices are assessed through the comparison with existing indices. However, this model-by-model validation approach does not necessarily reflect real-world accuracy or relevance. Therefore, a paradigm shift is needed – from comparative validation among indices to impact-oriented evaluation - emphasizing the capacity of drought indices to capture actual societal and environmental consequences. In this study, we propose a novel drought index derived from deep learning, evaluated through an impact-oriented lens using drought-induced economic losses as the primary performance metric. The index is computed using advanced deep learning techniques and a range of drought-related variables. To enhance model accuracy and robustness, we employ different self-supervised learning architectures, including convolutional neural networks, artificial neural networks, and variational autoencoders. The analysis utilizes ERA5 reanalysis data (1989–2024) for Italy, integrated with economic loss records from the EM-DAT database. Each model's performance is assessed based on its ability to estimate potential economic losses caused by drought. The proposed framework allows users to select the most suitable index based on a guided analysis, balancing data collection effort and predictive reliability.",,Droughts significantly impact,Semantic Scholar,2025-12-16T18:49:16.748743
